ID,aSagH_0,aSagH_2,aSagH_4,aSagH_6,aSagH_8,aSagH_10,aSagH_12,aSagH_14,aSagH_16,aSagH_18,aSagH_20,aSagH_22,aSagH_24,aSagH_26,aSagH_28,aSagH_30,aSagH_32,aSagH_34,aSagH_36,aSagH_38,aSagH_40,aSagH_42,aSagH_44,aSagH_46,aSagH_48,aSagH_50,aSagH_52,aSagH_54,aSagH_56,aSagH_58,aSagH_60,aSagH_62,aSagH_64,aSagH_66,aSagH_68,aSagH_70,aSagH_72,aSagH_74,aSagH_76,aSagH_78,aSagH_80,aSagH_82,aSagH_84,aSagH_86,aSagH_88,aSagH_90,aSagH_92,aSagH_94,aSagH_96,aSagH_98,aSagH_100
CP180,28.4897476832,27.3545103205,26.2531203789,25.1790806404,24.1003882164,22.9744230281,21.7648727105,20.4542098253,19.0478511522,17.5703230924,16.0553793645,14.5345096628,13.0279564296,11.540273148,10.0609229662,8.5685823347,7.0373517259,5.4441151768,3.7766750271,2.0419401551,0.2735712793,-1.4628907639,-3.0699202394,-4.4247334853,-5.3934667855,-5.8502569485,-5.6971339271,-4.8799995304,-3.3977377357,-1.3033908896,1.3013841178,4.2781892603,7.4695816404,10.7206762262,13.9002972151,16.9161973289,19.7196561179,22.2965862005,24.6487153162,26.7728632365,28.6482070364,30.2356592929,31.4864422754,32.3545810765,32.809531863,32.8478837039,32.5013267206,31.8364742914,30.9438331536,29.9198450496,28.8489290873
CP181,32.1705527306,30.8433638954,29.7449091389,28.1754592608,26.3727307711,25.1835469352,24.3755083232,23.5051630168,22.3196138726,21.0651390506,19.8093161984,18.6057169514,17.5105140889,16.4993507121,15.5124007401,14.5296761691,13.4531994791,12.3839485431,11.2266506909,9.9079554179,8.4129657881,6.9818131527,5.596569578,4.3316348821,3.3534282827,2.8749952825,2.9294025394,3.5576937767,5.164933309,7.7294422737,10.7337307829,14.2253202746,18.1177717267,22.3718408812,26.5409104927,30.3188518092,33.6169080152,36.3274169474,38.4142422899,39.7986063146,40.4764125379,40.6172391262,40.3624182258,39.9311735726,39.6704365333,39.3494035912,38.6707478058,37.4398618018,35.4812590675,33.6469796398,32.2115578651
CP183,32.1413536072,32.0461759943,31.5023295736,30.2019338689,28.5771122355,27.4749177922,26.8859044076,25.9713257336,24.1555242644,21.6511721703,18.9662269629,16.431294212,14.1287038505,11.9894257197,9.891396708,7.679693041,5.2105845884,2.4661666847,-0.4065453223,-3.1944716086,-5.7473234385,-8.0098698107,-9.9720704613,-11.6143742148,-12.8415856563,-13.4689136148,-13.3318866026,-12.3840572998,-10.6731336864,-8.2519373331,-5.1641361267,-1.522211904,2.4928401596,6.687024477,10.8494559829,14.7494339904,18.210102646,21.1634268383,23.6157682355,25.5761045605,27.0364373892,28.0289468327,28.6672901745,29.1203375031,29.5429229529,29.9648824742,30.2803435679,30.4551351296,30.5852908663,30.7524486867,30.9536922455
CP184,39.2297789256,38.7418586215,38.1314835768,37.3707005174,36.4413998242,35.3264010323,34.0067408953,32.470409489,30.7228602883,28.7890219574,26.7060188812,24.5140626754,22.2517902277,19.9564703937,17.6662444159,15.4208118254,13.2592123974,11.2153434275,9.3132833707,7.5653615544,5.9752498571,4.5468293507,3.2970306049,2.2676292463,1.5300776336,1.1795105565,1.318976726,2.0386423457,3.3946723448,5.3910820126,7.9676943928,10.9997749177,14.3133743723,17.715634232,21.0316516361,24.1354315362,26.9635634491,29.5077976338,31.7915963146,33.8419489496,35.6679361624,37.2525492461,38.5584915587,39.5444599113,40.1867930053,40.4971604453,40.5268813591,40.3538051869,40.0571882409,39.6918113417,39.2736352285
CP187,41.8571357727,41.0282508797,39.9068804121,38.568262872,37.2217920316,35.9708890863,34.7020821484,33.1813099568,31.2429817796,28.9223760689,26.3979412492,23.8400174868,21.3210314654,18.8204370924,16.2775500247,13.6463424117,10.9275158187,8.1700025813,5.4508759217,2.8571408822,0.485507869,-1.5478959465,-3.107770491,-4.0562878604,-4.2787859041,-3.7107466536000002,-2.3587379458,-0.3008576156,2.3438416683,5.4666280539,8.9973687951,12.8720701169,16.9731219274,21.1121804488,25.0849504265,28.7477026804,32.0403846456,34.9491035532,37.4622523927,39.5642880624,41.2591789486,42.5844884075,43.5958036416,44.3338738011,44.7917669823,44.9126898077,44.6585924576,44.0898175095,43.3556781329,42.5977899449,41.8454742432
CP27,27.7703898294,26.890664514,25.8572476781,24.6550798502,23.3565049941,22.0598179825,20.8109886043,19.5703846918,18.2235604399,16.6387315452,14.7499429724,12.5987625755,10.3032158384,7.9862609912,5.718807413,3.50846218,1.3266459014,-0.8519413338,-3.0182593072,-5.1151248387,-7.0402454521,-8.6634292472,-9.8541377814,-10.5105778744,-10.5770441185,-10.0435686966,-8.9295899574,-7.2620081551,-5.0655017261,-2.374983039,0.7436197967,4.1836784684,7.8029620078,11.4393127217,14.934010664,18.1555185331,21.0132685873,23.4596002728,25.485602852,27.114598924,28.3917371726,29.3674785799,30.0793098304,30.5390335611,30.7305744684,30.6248237555,30.2149390729,29.5534862205,28.7519100676,27.9286259134,27.1415928432
CP29,34.7327663422,32.9268584465,31.0531651203,29.1737353501,27.3187319795,25.4920723244,23.6901511242,21.9138429766,20.1660890572,18.4432291614,16.7330645641,15.0234878201,13.3117236022,11.6032740954,9.9030081999,8.2085630897,6.5124335804,4.8118437893,3.1204559707,1.4759632775,-0.0590706711,-1.4018682863,-2.4572823419,-3.1288406702,-3.3320842753,-3.0039615149,-2.1011394762,-0.5912841457,1.5442297116,4.2903312014,7.5793789488,11.2875159114,15.2431926585,19.2491687489,23.1209864291,26.7214301717,29.9678351696,32.8174707376,35.248627046,37.2483537054,38.8095574541,39.9360934792,40.6499846108,40.9913035513,41.0071157892,40.7355496731,40.1974324951,39.402538645,38.3632545666,37.1036790949,35.6586502075
CP31,37.9735374451,37.0869926124,35.8670022993,34.2892883346,32.4635024565,30.5058149419,28.4630694345,26.3044516527,23.9972333718,21.5716226768,19.1156280108,16.7191053777,14.4189078186,12.1943790504,10.0045081053,7.8221670517,5.6446051592,3.4871519298,1.3747413067,-0.6586774479,-2.5632788234,-4.267658328,-5.6821708898,-6.7125970663,-7.2754638596,-7.3047157877,-6.7492753641,-5.5712132218,-3.7506073723,-1.2955451642,1.7499944152,5.304666232,9.2520037679,13.4420212498,17.6992274718,21.8461959809,25.7358071958,29.2727234618,32.4123258447,35.141367164,37.4551605195,39.3360798205,40.7337933237,41.5646689506,41.7500820763,41.2960858023,40.373436835,39.2770224365,38.289798834,37.5506099294,36.9684051514
CP33,38.6480573018,37.4951595139,36.0523441769,34.2914611234,32.2655504327,30.1087244057,27.9610311699,25.8914803888,23.8817099982,21.854484127,19.7315239409,17.4887979087,15.1658626495,12.8324476016,10.54469848,8.3153713219,6.11378288,3.8925174985,1.6245902648,-0.6638215445,-2.8780994877,-4.8650805438,-6.4467395359,-7.463611502,-7.8103518468,-7.4502895924,-6.4074150716,-4.7406377671,-2.5129305143,0.2292436827,3.4525760733,7.105229762,11.0783699476,15.1939100372,19.2333424874,22.9921006037,26.3261022142,29.1680836656,31.5185799894,33.4268433005,34.9688273925,36.2266033643,37.2719584802,38.1515261771,38.8707955606,39.3878020772,39.6343517019,39.5578178306,39.1487292451,38.4352502497,37.4544130961
CP37,44.556804657,44.5278231538,44.9863457667,45.4741367452,45.5965071915,45.1698386545,44.1645921314,42.6195704003,40.648164352,38.4474874853,36.1956763729,33.9248669544,31.5135519514,28.7910516828,25.6543908316,22.1206560648,18.3130130858,14.4121478771,10.6032143909,7.0403143087,3.8354952739,1.0628965489,-1.2314917994,-3.0086160552,-4.1978804542,-4.6652635151,-4.2319729407,-2.7556669894,-0.223815368,3.213111147,7.2906949455,11.7119260487,16.2038381385,20.5389914739,24.5469967475,28.1304277688,31.2739036492,34.0293936022,36.4774296083,38.6848235343,40.6811667499,42.4594702846,43.9955551739,45.2728319075,46.2892809857,47.0209654963,47.388151403,47.337093539,46.9512600966,46.4276861884,46.023979187
CP39,40.4682525635,39.4472839735,38.1835539479,36.685802281,34.9768069556,33.0882765939,31.0582285452,28.9345471663,26.7780673324,24.6576353673,22.6352903342,20.7469998174,18.9879346363,17.3101393742,15.6338050199,13.8682746783,11.9367434711,9.7993751826,7.470213318,5.024440055,2.5931683691,0.3462923307,-1.5334465753,-2.8790709361,-3.5635919676,-3.5151507493,-2.7214603175,-1.224787605,0.8886985071,3.5020144663,6.4797001198,9.6809471122,12.9751990843,16.2576219682,19.4578671645,22.538501502,25.4852824747,28.2928455155,30.9504757602,33.4326207991,35.6980810061,37.696147099,39.376444423,40.6995451778,41.6470917016,42.227067368,42.4704989545,42.4188734718,42.1083802657,41.5586370651,40.7722518921
CP42,38.5409342448,37.5518895947,36.2623759436,34.7491815997,33.1033748626,31.3760924279,29.5743109554,27.6839356129,25.6890787486,23.5907777647,21.4216349832,19.2412455781,17.1136652786,15.0829678138,13.1599576299,11.3234837783,9.5324543368,7.7425009025,5.9223393201,4.0675599451,2.2101766615,0.4212447261,-1.1964220321,-2.5246750534,-3.4507892148,-3.8851051006,-3.7698148564,-3.0773166513,-1.8023065293,0.0435372011,2.4272684461,5.283718356,8.5099599413,11.9714688888,15.5179624185,19.0047129464,22.3136983281,25.3661261906,28.1216454866,30.5682901335,32.7106788623,34.5621192611,36.1418712132,37.4731735869,38.5764845645,39.4595412964,40.1124085953,40.5126894758,40.6323551098,40.436096023,39.8770999908
CP44,37.9419428507,37.0974291501,36.0998415364,34.9079436656,33.5152276441,31.899371517,30.0107929428,27.8203419145,25.3589072259,22.713575419,20.0056005641,17.3646856466,14.8942199952,12.6375082021,10.5707705299,8.6269415841,6.7308790554,4.8295185266,2.9101314243,1.002088999,-0.8343338444,-2.5217046855,-3.9747414127,-5.104162825,-5.8190445472,-6.0281622779,-5.6424558894,-4.5833380884,-2.8076875964,-0.3433684376,2.6876404148,6.0752144899,9.5771788544,13.0096993779,16.3027198713,19.4829290583,22.6058869355,25.6842961841,28.6535454578,31.3804410991,33.7046096738,35.4982093098,36.7160703394,37.4059213548,37.6771644437,37.6493558547,37.4125685538,37.0280199046,36.5579991212,36.0667879787,35.5788993835
CP53,35.8105369568,35.0624485349,34.3945749449,33.5895324525,32.4237964834,30.8039275867,28.8080616599,26.5981781662,24.3166854808,22.0506085254,19.8395693174,17.693125677,15.6102027058,13.5942501842,11.6515779837,9.7748825093,7.9337633543,6.08892245,4.2212870462,2.3512394722,0.5312340824,-1.1830044779,-2.75542133,-4.1601098039,-5.3447907896,-6.1992249274,-6.5520474315,-6.2057457452,-5.0126307524,-2.9589637225,-0.1819765116,3.116164554,6.775626071,10.6987745408,14.790393629,18.9093942737,22.8804830216,26.5404942556,29.7806441739,32.5599636129,34.8800226652,36.7416401977,38.121215516,38.9798274232,39.2917784076,39.0755279024,38.4131238144,37.4476275579,36.3566924457,35.3047698268,34.3791690826
CP56,32.532869339,31.4338479556,29.8245587093,27.3626252979,24.4330420676,21.9085019,20.0314900826,18.374784358,16.3953032339,13.9124516496,11.1897452504,8.651187368,6.5503174662,4.8483891022,3.3243656897,1.756386196,0.0424876837,-1.7787194067,-3.590847838,-5.2921758818,-6.8290279239,-8.1631611332,-9.2420297188,-9.9963515965,-10.3547690293,-10.2565136243,-9.6569627609,-8.5397094319,-6.9246338798,-4.8497588183,-2.3291148285,0.6671115078,4.1672822353,8.1292130253,12.3926389419,16.7134448259,20.8691912751,24.7107913167,28.1463894929,31.1356146941,33.6908855578,35.8554466798,37.6687661129,39.1352451177,40.1963406912,40.725935369,40.5905848734,39.7654153344,38.427666078,36.936765477,35.6341609955
